,name,content,date,like,place,tags,link,follower,follow
53,카페하이웨스트,익선동 구경갔다가 사람이 가득한카페가 있어서 들어가봤어요!! 유럽에 온듯한 인테리어와 시각과 후각을 자극하는 베이커리가 한가득~~ 다음주에 베이커리 팀원들과 재방문해서 이것저것 먹고 올 예정이에요!! 자세한 후기는 곧~~😁#익선동카페 #익선동맛집 #익선동핫플 #카페스타그램 #커피스타그램 #카페투어 #카페추천 #커피맛집 #케이크맛집 #하이웨스트익선 #베이커리카페 #카페하이웨스트 #카페인테리어 #카페맛집 #카페그램 #카페창업 #카페디저트 #카페데이트 #카페탐방 #서울카페 #cera익선카페,2020-11-14,66,하이웨스트익선,"['#익선동카페', '#익선동맛집', '#익선동핫플', '#카페스타그램', '#커피스타그램', '#카페투어', '#카페추천', '#커피맛집', '#케이크맛집', '#하이웨스트익선', '#베이커리카페', '#카페하이웨스트', '#카페인테리어', '#카페맛집', '#카페그램', '#카페창업', '#카페디저트', '#카페데이트', '#카페탐방', '#서울카페', '#cera익선카페']",https://www.instagram.com/cafe__cera/,264,180
54,카페하이웨스트,오늘 익선점에 너무 귀여운 친구들이 왔어요❤️#하이웨스트익선 #카페하이웨스트 #익선동카페 #카페 #카페인테리어 #cafehighwaist #cafehighwaistikseon #익선동 #카페오픈 #익선동케이크 #료그리쿠키,2020-11-14,134,하이웨스트익선,"['#하이웨스트익선', '#카페하이웨스트', '#익선동카페', '#카페', '#카페인테리어', '#cafehighwaist', '#cafehighwaistikseon', '#익선동', '#카페오픈', '#익선동케이크', '#료그리쿠키']",https://www.instagram.com/cafe_highwaist/,3397,3
55,카페하이웨스트,🕊,2020-11-14,159,,[],https://www.instagram.com/luvsome.a/,2063,167
56,카페하이웨스트,거울샷,2020-11-13,28,Cafe Highwaist,[],https://www.instagram.com/ibu__0509/,107,98
57,카페하이웨스트,🕯,2020-11-13,19,Cafe Highwaist,[],https://www.instagram.com/ibu__0509/,107,98
58,카페하이웨스트,어쩌다 한번 오는 육아해방의날 하던일 마치고 재료충전하고 불금즐기는 중금요일밤 #혼밥 #혼커 즐기는 여자요기요기 혼자오기 아깝게 취향저격#카페하이웨스트 #런던가고싶다#현실은 #익선동#애엄마 #자부타임,2020-11-13,39,익선동,"['#혼밥', '#혼커', '#카페하이웨스트', '#런던가고싶다', '#현실은', '#익선동', '#애엄마', '#자부타임']",https://www.instagram.com/maman_ssura/,719,243
59,카페하이웨스트,🥨,2020-11-12,234,하이웨스트익선,[],https://www.instagram.com/yerin_o8/,669,197
60,카페하이웨스트,내가 가장 좋아하는 시간🤍,2020-11-12,29,Cafe Highwaist,[],https://www.instagram.com/ibu__0509/,107,98
61,카페하이웨스트,#카페하이웨스트 #하이웨스트연남 #연남동카페 #홍대카페 #카페 #카페스타그램 #카페그램 #꽃스타그램 #카페추천 #좋아요 #일상 #cafehighwaist #cafe #cafestagram #カフェ #カフェスタグラム #韓国カフェ #韓国留学 #韓国留学生,2020-11-12,22,Cafe Highwaist,"['#카페하이웨스트', '#하이웨스트연남', '#연남동카페', '#홍대카페', '#카페', '#카페스타그램', '#카페그램', '#꽃스타그램', '#카페추천', '#좋아요', '#일상', '#cafehighwaist', '#cafe', '#cafestagram', '#カフェ', '#カフェスタグラム', '#韓国カフェ', '#韓国留学', '#韓国留学生']",https://www.instagram.com/ibu__0509/,107,98
62,카페하이웨스트,🐻🐰☕️♥️#연남동 #카페하이웨스트 #스콘 #케이크 #연남동카페 #빵스타그램 #카페스타그램,2020-11-11,27,Cafe Highwaist,"['#연남동', '#카페하이웨스트', '#스콘', '#케이크', '#연남동카페', '#빵스타그램', '#카페스타그램']",https://www.instagram.com/lalalla_daily/,395,160
